,id_gabinete,fecha_inicio,fecha_fin_observacion,situacion_final,tipo_gobierno,fragmentacion,crecimiento_pbi
61,GAB-146,2004-09-08,2005-04-01,caida,minoritario,6.35,1.96
62,GAB-257,2004-10-08,2006-04-04,caida,mayoritario,2.55,5.38
63,GAB-159,2004-12-02,2007-07-26,caida,minoritario,3.85,3.84
64,GAB-317,2004-12-04,2005-05-20,caida,mayoritario,6.84,5.21
65,GAB-338,2005-02-06,2005-08-01,caida,mayoritario,7.25,5.69
66,GAB-258,2005-04-09,2005-10-23,caida,minoritario,7.03,-2.44
67,GAB-104,2005-04-11,2005-08-28,caida,minoritario,3.35,0.7
68,GAB-262,2005-04-23,2005-10-13,caida,mayoritario,7.25,3.24
69,GAB-308,2005-05-23,2008-01-15,caida,minoritario,2.78,4.58
70,GAB-134,2005-05-31,2007-01-21,caida,mayoritario,5.39,6.62
71,GAB-112,2005-06-12,2005-10-18,caida,mayoritario,3.2,2.27
72,GAB-227,2005-06-16,2006-08-21,caida,mayoritario,2.62,0.68
73,GAB-313,2005-07-26,2005-11-22,caida,minoritario,5.42,3.25
74,GAB-207,2005-08-02,2005-11-20,caida,mayoritario,5.43,0.78
75,GAB-212,2005-08-08,2009-08-31,vigente_al_cierre,mayoritario,4.79,0.75
76,GAB-136,2005-09-02,2005-12-08,caida,minoritario,4.83,2.0
77,GAB-209,2005-10-14,2006-05-26,caida,minoritario,5.38,3.58
78,GAB-176,2005-11-17,2007-11-08,caida,mayoritario,5.27,1.1
79,GAB-255,2006-01-12,2006-04-04,caida,minoritario,6.98,0.24
80,GAB-249,2006-01-21,2006-12-14,caida,minoritario,6.27,2.59
81,GAB-198,2006-03-28,2006-05-15,caida,minoritario,4.37,0.99
82,GAB-287,2006-04-08,2006-04-18,caida,mayoritario,6.61,2.06
83,GAB-109,2006-05-24,2010-05-30,caida,mayoritario,2.99,1.56
84,GAB-186,2006-05-29,2006-11-07,caida,mayoritario,6.78,-0.53
85,GAB-250,2006-06-10,2009-09-12,vigente_al_cierre,mayoritario,3.02,0.78
86,GAB-107,2006-06-14,2008-03-18,caida,mayoritario,5.98,6.16
87,GAB-239,2006-06-18,2007-03-06,caida,mayoritario,6.53,-1.11
88,GAB-191,2006-06-23,2008-02-15,caida,mayoritario,4.87,3.12
89,GAB-264,2006-07-09,2007-06-30,caida,minoritario,5.66,2.67
90,GAB-156,2006-07-10,2007-03-17,caida,minoritario,5.08,-1.63
91,GAB-327,2006-10-10,2007-03-09,caida,minoritario,5.27,0.25
92,GAB-275,2006-12-07,2008-01-21,caida,minoritario,5.25,6.65
93,GAB-155,2007-03-10,2008-07-07,caida,mayoritario,7.38,2.43
94,GAB-226,2007-03-24,2007-10-30,caida,mayoritario,6.72,2.02
95,GAB-247,2007-06-27,2007-07-23,caida,minoritario,4.64,0.08
96,GAB-286,2007-07-03,2010-04-23,vigente_al_cierre,mayoritario,2.86,3.15
97,GAB-140,2007-08-11,2008-09-21,caida,minoritario,2.65,0.57
98,GAB-309,2007-08-25,2009-09-04,vigente_al_cierre,minoritario,3.09,1.48
99,GAB-270,2007-10-15,2008-11-11,caida,mayoritario,6.46,1.52
100,GAB-230,2007-12-01,2009-04-19,caida,minoritario,3.09,3.5
101,GAB-173,2007-12-24,2008-03-30,caida,mayoritario,3.9,0.1
102,GAB-117,2007-12-30,2008-04-24,caida,minoritario,6.01,2.59
103,GAB-205,2008-01-17,2009-05-16,caida,minoritario,5.71,5.46
104,GAB-172,2008-02-06,2008-10-25,caida,minoritario,5.8,1.39
105,GAB-119,2008-02-19,2008-03-22,caida,minoritario,3.97,3.75
106,GAB-158,2008-02-27,2009-06-25,caida,minoritario,6.48,-0.11
107,GAB-189,2008-05-10,2009-07-23,caida,minoritario,2.99,2.0
108,GAB-343,2008-05-30,2011-08-08,caida,minoritario,3.44,4.69
109,GAB-222,2008-06-08,2010-12-21,caida,minoritario,2.97,2.6
110,GAB-347,2008-07-21,2011-01-12,vigente_al_cierre,mayoritario,2.89,1.65
111,GAB-200,2008-08-21,2009-04-09,caida,minoritario,5.02,1.21
112,GAB-245,2008-09-13,2008-12-15,caida,minoritario,7.15,-0.82
113,GAB-244,2008-09-27,2009-07-02,caida,minoritario,4.2,3.78
114,GAB-204,2008-10-21,2010-05-04,caida,mayoritario,2.85,2.48
115,GAB-299,2008-11-23,2009-01-22,caida,mayoritario,2.92,3.0
116,GAB-180,2009-03-23,2011-05-11,caida,mayoritario,4.28,3.73
117,GAB-219,2009-03-28,2009-07-22,caida,minoritario,2.85,1.53
118,GAB-102,2009-05-20,2010-11-12,caida,mayoritario,6.76,4.4
119,GAB-232,2009-05-25,2009-12-02,caida,minoritario,5.64,2.7
120,GAB-142,2009-06-15,2010-09-12,caida,minoritario,6.61,4.62
121,GAB-221,2009-06-28,2014-02-07,vigente_al_cierre,mayoritario,2.59,0.77
122,GAB-329,2009-07-17,2010-01-15,caida,mayoritario,5.12,2.76
123,GAB-251,2009-10-08,2010-05-14,caida,minoritario,7.01,1.73
124,GAB-175,2009-10-31,2012-07-27,caida,mayoritario,6.19,2.57
125,GAB-170,2009-12-02,2010-08-30,caida,mayoritario,5.25,2.29
126,GAB-100,2009-12-17,2010-10-07,caida,minoritario,3.97,3.18
127,GAB-111,2010-01-13,2011-03-16,caida,mayoritario,7.45,5.21
128,GAB-106,2010-02-19,2010-08-19,caida,minoritario,7.18,-0.14
129,GAB-168,2010-03-03,2010-06-14,caida,minoritario,3.28,1.44
130,GAB-332,2010-03-08,2010-11-12,caida,mayoritario,4.77,3.46
131,GAB-223,2010-05-06,2010-06-06,caida,minoritario,5.92,0.84
132,GAB-105,2010-06-01,2011-02-26,caida,minoritario,5.28,3.48
133,GAB-154,2010-06-08,2013-07-21,vigente_al_cierre,mayoritario,6.13,3.27
134,GAB-202,2010-06-11,2011-10-12,caida,minoritario,5.79,5.87
135,GAB-276,2010-06-25,2014-01-18,caida,mayoritario,4.71,4.24
136,GAB-293,2010-08-04,2012-04-09,caida,mayoritario,4.35,4.79
137,GAB-324,2010-08-09,2010-10-16,caida,minoritario,5.14,3.81
138,GAB-130,2010-08-24,2012-12-08,caida,mayoritario,6.95,5.6
139,GAB-302,2010-09-28,2010-12-23,caida,minoritario,4.62,4.16
140,GAB-206,2010-10-03,2013-07-06,caida,minoritario,2.63,2.65
141,GAB-335,2010-10-27,2011-06-11,caida,mayoritario,7.01,3.44
142,GAB-263,2010-10-28,2011-05-25,caida,minoritario,5.37,1.29
143,GAB-188,2010-12-19,2012-05-27,caida,mayoritario,4.87,5.79
144,GAB-161,2010-12-23,2012-10-08,caida,minoritario,2.89,0.62
145,GAB-216,2011-01-06,2011-11-11,caida,mayoritario,7.31,-0.3
146,GAB-331,2011-02-01,2011-12-01,caida,minoritario,5.98,3.95
147,GAB-291,2011-02-17,2011-04-08,caida,mayoritario,7.43,4.04
148,GAB-122,2011-04-23,2012-06-24,caida,minoritario,6.84,2.74
149,GAB-322,2011-06-13,2012-10-06,caida,minoritario,2.72,-1.06
150,GAB-164,2011-09-21,2012-10-28,caida,minoritario,6.68,2.37
151,GAB-274,2011-10-03,2012-01-10,caida,mayoritario,2.79,3.08
152,GAB-292,2011-10-22,2013-12-28,caida,mayoritario,4.37,-0.46
153,GAB-211,2011-12-05,2012-10-08,caida,minoritario,5.72,2.12
154,GAB-160,2012-01-08,2012-04-22,caida,minoritario,4.69,3.23
155,GAB-217,2012-01-14,2012-06-01,caida,minoritario,7.03,3.63
156,GAB-306,2012-01-21,2015-11-29,vigente_al_cierre,minoritario,2.56,3.46
157,GAB-339,2012-02-27,2012-07-26,caida,minoritario,6.95,1.48
158,GAB-311,2012-03-28,2012-09-19,caida,mayoritario,5.75,0.54
159,GAB-194,2012-04-03,2012-11-22,caida,mayoritario,4.49,2.24
160,GAB-123,2012-06-06,2012-06-08,caida,minoritario,7.07,3.53
161,GAB-215,2012-06-21,2014-06-04,caida,mayoritario,4.43,6.32
162,GAB-178,2012-07-09,2013-12-12,caida,minoritario,4.6,2.28
163,GAB-284,2012-07-21,2014-06-11,caida,minoritario,2.92,2.54
164,GAB-197,2012-08-04,2013-10-16,caida,minoritario,2.73,2.91
165,GAB-139,2012-08-16,2013-07-13,caida,minoritario,5.45,5.24
166,GAB-320,2012-08-17,2013-01-29,caida,mayoritario,2.56,0.95
167,GAB-115,2012-09-18,2012-12-30,caida,minoritario,6.2,1.3
168,GAB-190,2012-09-22,2013-05-15,caida,minoritario,4.96,3.65
169,GAB-336,2012-10-27,2013-04-10,caida,minoritario,2.73,6.26
170,GAB-148,2012-11-16,2013-05-31,caida,minoritario,5.61,5.5
171,GAB-166,2012-12-15,2013-04-01,caida,minoritario,4.54,0.53
172,GAB-103,2013-02-01,2015-01-23,caida,mayoritario,4.08,1.35
173,GAB-108,2013-02-11,2016-05-14,vigente_al_cierre,mayoritario,5.35,4.86
174,GAB-162,2013-04-12,2014-08-18,caida,mayoritario,2.63,1.47
175,GAB-174,2013-05-21,2017-12-09,vigente_al_cierre,mayoritario,7.27,6.43
176,GAB-340,2013-06-10,2014-09-14,caida,mayoritario,4.78,0.52
177,GAB-203,2013-07-04,2014-08-01,caida,minoritario,3.31,4.26
178,GAB-231,2013-07-28,2014-01-28,caida,minoritario,5.98,0.54
179,GAB-277,2014-03-06,2014-07-01,caida,minoritario,6.94,1.85
180,GAB-349,2014-03-16,2016-03-10,caida,mayoritario,7.43,-0.81
181,GAB-326,2014-05-05,2014-12-07,caida,mayoritario,2.87,3.06
182,GAB-279,2014-06-16,2014-12-04,caida,minoritario,3.09,1.68
183,GAB-126,2014-08-01,2015-07-01,caida,minoritario,6.49,-0.57
184,GAB-296,2014-08-17,2015-02-05,caida,mayoritario,7.43,3.77
185,GAB-289,2014-09-14,2016-11-23,caida,minoritario,2.91,-1.92
186,GAB-167,2014-10-01,2015-05-17,caida,mayoritario,3.37,3.51
187,GAB-344,2014-10-20,2015-05-27,caida,minoritario,4.82,-0.88
188,GAB-301,2014-10-27,2015-04-28,caida,minoritario,5.29,0.8
189,GAB-129,2014-12-04,2015-01-01,caida,minoritario,6.48,1.0
190,GAB-307,2014-12-08,2016-01-24,caida,mayoritario,4.84,3.17
191,GAB-319,2014-12-30,2015-10-26,caida,mayoritario,7.32,6.25
192,GAB-214,2015-03-06,2017-07-15,caida,mayoritario,7.21,4.35
193,GAB-213,2015-03-31,2015-05-26,caida,mayoritario,5.23,-0.27
194,GAB-153,2015-06-02,2016-02-10,caida,mayoritario,5.69,2.39
195,GAB-179,2015-08-28,2016-04-25,caida,minoritario,3.74,2.06
196,GAB-228,2015-09-03,2016-06-17,caida,minoritario,6.57,1.35
197,GAB-305,2015-10-06,2015-12-14,caida,minoritario,4.96,1.54
198,GAB-346,2015-10-22,2016-09-02,caida,minoritario,5.42,2.18
199,GAB-236,2015-11-20,2017-11-28,caida,minoritario,3.91,1.17
200,GAB-120,2015-12-21,2017-07-04,caida,mayoritario,6.55,0.36
201,GAB-132,2016-01-01,2019-03-11,vigente_al_cierre,minoritario,4.38,4.86
202,GAB-235,2016-02-21,2016-05-21,caida,minoritario,6.52,3.59
203,GAB-229,2016-02-23,2016-04-29,caida,minoritario,3.91,4.01
204,GAB-254,2016-04-09,2018-04-02,caida,mayoritario,4.1,4.17
205,GAB-193,2016-04-13,2016-06-30,caida,mayoritario,4.67,4.74
206,GAB-246,2016-07-27,2017-02-01,caida,mayoritario,6.79,2.37
207,GAB-125,2016-08-22,2017-05-24,caida,mayoritario,5.01,0.25
208,GAB-341,2016-08-27,2017-03-10,caida,mayoritario,5.6,2.25
209,GAB-328,2016-09-02,2016-11-05,caida,mayoritario,7.35,7.39
210,GAB-345,2016-09-08,2018-11-14,vigente_al_cierre,mayoritario,4.27,5.56
211,GAB-242,2016-09-12,2017-02-13,caida,minoritario,4.36,3.02
212,GAB-199,2016-09-17,2016-11-09,caida,minoritario,5.63,-0.34
213,GAB-248,2016-09-29,2016-12-11,caida,minoritario,6.25,1.2
214,GAB-171,2016-11-16,2017-08-12,caida,minoritario,6.07,0.43
215,GAB-124,2017-01-27,2017-10-22,caida,minoritario,5.06,3.92
216,GAB-330,2017-02-17,2017-02-20,caida,mayoritario,5.65,2.72
217,GAB-272,2017-02-22,2017-05-07,caida,minoritario,2.96,3.29
218,GAB-234,2017-03-08,2018-07-24,caida,mayoritario,6.18,-0.84
219,GAB-303,2017-03-26,2017-06-04,caida,mayoritario,7.03,0.79
220,GAB-145,2017-03-27,2017-04-29,caida,mayoritario,5.11,-1.58
221,GAB-220,2017-08-09,2019-09-29,vigente_al_cierre,mayoritario,3.0,1.32
222,GAB-325,2017-09-02,2019-01-24,caida,minoritario,7.46,2.39
223,GAB-183,2017-09-25,2018-12-30,caida,minoritario,3.08,1.35
224,GAB-304,2017-11-14,2020-04-19,vigente_al_cierre,mayoritario,3.06,2.64
225,GAB-149,2017-12-20,2019-04-18,caida,minoritario,2.93,2.65
226,GAB-298,2017-12-27,2018-03-29,caida,mayoritario,4.38,2.86
227,GAB-297,2018-03-05,2020-10-11,caida,mayoritario,6.27,7.04
228,GAB-266,2018-03-21,2018-08-23,caida,minoritario,3.97,4.84
229,GAB-238,2018-03-23,2018-11-27,caida,minoritario,6.25,0.97
230,GAB-143,2018-04-11,2020-05-04,caida,mayoritario,4.3,-1.02
231,GAB-318,2018-08-26,2021-09-03,caida,mayoritario,3.62,3.33
232,GAB-281,2018-09-17,2018-12-10,caida,minoritario,6.31,0.48
233,GAB-334,2018-11-09,2019-05-05,caida,minoritario,5.42,0.92
234,GAB-177,2018-11-17,2021-02-28,caida,minoritario,5.56,2.93
235,GAB-342,2019-01-05,2022-02-16,caida,mayoritario,3.89,2.61
236,GAB-138,2019-01-09,2020-11-11,caida,mayoritario,3.93,3.79
237,GAB-187,2019-02-10,2021-06-23,caida,mayoritario,6.02,5.23
238,GAB-278,2019-02-10,2019-08-24,caida,mayoritario,4.25,4.9
239,GAB-131,2019-03-07,2020-10-23,caida,minoritario,4.19,2.73
240,GAB-152,2019-03-11,2019-08-15,caida,mayoritario,5.2,-0.91
241,GAB-241,2019-03-31,2020-03-26,caida,minoritario,4.56,2.6
242,GAB-113,2019-04-28,2020-06-20,caida,minoritario,5.09,4.98
243,GAB-218,2019-05-03,2020-05-24,caida,mayoritario,3.48,1.2
244,GAB-147,2019-05-31,2021-03-24,caida,minoritario,3.58,3.94
245,GAB-237,2019-06-25,2021-03-02,caida,mayoritario,3.39,3.64
246,GAB-271,2019-08-17,2020-09-21,caida,minoritario,6.45,1.63
247,GAB-312,2019-08-24,2020-11-08,caida,mayoritario,6.23,1.61
248,GAB-295,2019-09-24,2020-12-08,caida,minoritario,7.24,1.67
249,GAB-151,2019-12-11,2021-11-29,caida,mayoritario,5.16,-0.26
