id_gabinete,duracion_meses,caida_evento,gobierno_mayoritario,fragmentacion,crecimiento_pbi
GAB-243,6.8,1,0,6.38,0.69
GAB-267,5.8,1,0,4.14,3.01
GAB-348,23.3,1,1,7.37,0.48
GAB-314,25.2,0,1,7.31,4.01
GAB-141,13.7,1,0,2.69,3.87
GAB-256,29.3,1,1,4.45,3.56
GAB-163,5.9,1,0,7.31,0.38
GAB-157,5.8,1,0,4.11,2.32
GAB-321,4.6,1,1,7.35,0.01
GAB-192,53.9,0,1,3.37,8.66
GAB-253,14.6,1,0,6.63,1.35
GAB-195,12.2,1,0,5.58,0.59
GAB-252,7.5,1,0,5.03,4.51
GAB-146,6.7,1,0,6.35,1.96
GAB-257,17.8,1,1,2.55,5.38
GAB-159,31.7,1,0,3.85,3.84
GAB-317,5.5,1,1,6.84,5.21
GAB-338,5.8,1,1,7.25,5.69
GAB-258,6.5,1,0,7.03,-2.44
GAB-104,4.6,1,0,3.35,0.7
GAB-262,5.7,1,1,7.25,3.24
GAB-308,31.8,1,0,2.78,4.58
GAB-134,19.7,1,1,5.39,6.62
GAB-112,4.2,1,1,3.2,2.27
GAB-227,14.2,1,1,2.62,0.68
GAB-313,3.9,1,0,5.42,3.25
GAB-207,3.6,1,1,5.43,0.78
GAB-212,48.8,0,1,4.79,0.75
GAB-136,3.2,1,0,4.83,2.0
GAB-209,7.4,1,0,5.38,3.58
GAB-176,23.7,1,1,5.27,1.1
GAB-255,2.7,1,0,6.98,0.24
GAB-249,10.7,1,0,6.27,2.59
GAB-198,1.6,1,0,4.37,0.99
GAB-287,0.3,1,1,6.61,2.06
GAB-109,48.2,1,1,2.99,1.56
GAB-186,5.3,1,1,6.78,-0.53
GAB-250,39.1,0,1,3.02,0.78
GAB-107,21.1,1,1,5.98,6.16
GAB-239,8.6,1,1,6.53,-1.11
GAB-191,19.8,1,1,4.87,3.12
GAB-264,11.7,1,0,5.66,2.67
GAB-156,8.2,1,0,5.08,-1.63
GAB-327,4.9,1,0,5.27,0.25
GAB-275,13.5,1,0,5.25,6.65
GAB-155,15.9,1,1,7.38,2.43
GAB-226,7.2,1,1,6.72,2.02
GAB-247,0.9,1,0,4.64,0.08
GAB-286,33.7,0,1,2.86,3.15
GAB-140,13.4,1,0,2.65,0.57
GAB-309,24.3,0,0,3.09,1.48
GAB-270,12.9,1,1,6.46,1.52
GAB-230,16.6,1,0,3.09,3.5
GAB-173,3.2,1,1,3.9,0.1
GAB-117,3.8,1,0,6.01,2.59
GAB-205,15.9,1,0,5.71,5.46
GAB-172,8.6,1,0,5.8,1.39
GAB-119,1.1,1,0,3.97,3.75
GAB-158,15.9,1,0,6.48,-0.11
GAB-189,14.4,1,0,2.99,2.0
GAB-343,38.3,1,0,3.44,4.69
GAB-222,30.4,1,0,2.97,2.6
GAB-347,29.7,0,1,2.89,1.65
GAB-200,7.6,1,0,5.02,1.21
GAB-245,3.1,1,0,7.15,-0.82
GAB-244,9.1,1,0,4.2,3.78
GAB-204,18.4,1,1,2.85,2.48
GAB-299,2.0,1,1,2.92,3.0
GAB-180,25.6,1,1,4.28,3.73
GAB-219,3.8,1,0,2.85,1.53
GAB-102,17.8,1,1,6.76,4.4
GAB-232,6.3,1,0,5.64,2.7
GAB-142,14.9,1,0,6.61,4.62
GAB-221,55.4,0,1,2.59,0.77
GAB-329,6.0,1,1,5.12,2.76
GAB-251,7.2,1,0,7.01,1.73
GAB-175,32.9,1,1,6.19,2.57
GAB-170,8.9,1,1,5.25,2.29
GAB-100,9.7,1,0,3.97,3.18
GAB-111,14.0,1,1,7.45,5.21
GAB-106,5.9,1,0,7.18,-0.14
GAB-168,3.4,1,0,3.28,1.44
GAB-332,8.2,1,1,4.77,3.46
GAB-223,1.0,1,0,5.92,0.84
GAB-105,8.9,1,0,5.28,3.48
GAB-154,37.4,0,1,6.13,3.27
GAB-202,16.0,1,0,5.79,5.87
GAB-276,42.8,1,1,4.71,4.24
GAB-293,20.2,1,1,4.35,4.79
GAB-324,2.2,1,0,5.14,3.81
GAB-130,27.5,1,1,6.95,5.6
GAB-302,2.8,1,0,4.62,4.16
GAB-206,33.1,1,0,2.63,2.65
GAB-335,7.5,1,1,7.01,3.44
GAB-263,6.9,1,0,5.37,1.29
GAB-188,17.2,1,1,4.87,5.79
GAB-161,21.5,1,0,2.89,0.62
GAB-216,10.2,1,1,7.31,-0.3
GAB-331,10.0,1,0,5.98,3.95
GAB-291,1.6,1,1,7.43,4.04
GAB-122,14.1,1,0,6.84,2.74
GAB-322,15.8,1,0,2.72,-1.06
GAB-164,13.2,1,0,6.68,2.37
GAB-274,3.3,1,1,2.79,3.08
GAB-292,26.2,1,1,4.37,-0.46
GAB-211,10.1,1,0,5.72,2.12
GAB-160,3.4,1,0,4.69,3.23
GAB-217,4.6,1,0,7.03,3.63
GAB-306,46.3,0,0,2.56,3.46
GAB-339,4.9,1,0,6.95,1.48
GAB-311,5.7,1,1,5.75,0.54
GAB-194,7.7,1,1,4.49,2.24
GAB-123,0.1,1,0,7.07,3.53
GAB-215,23.4,1,1,4.43,6.32
GAB-178,17.1,1,0,4.6,2.28
GAB-284,22.7,1,0,2.92,2.54
GAB-197,14.4,1,0,2.73,2.91
GAB-139,10.9,1,0,5.45,5.24
GAB-320,5.4,1,1,2.56,0.95
GAB-115,3.4,1,0,6.2,1.3
GAB-190,7.7,1,0,4.96,3.65
GAB-336,5.4,1,0,2.73,6.26
GAB-148,6.4,1,0,5.61,5.5
GAB-166,3.5,1,0,4.54,0.53
GAB-103,23.7,1,1,4.08,1.35
GAB-108,39.0,0,1,5.35,4.86
GAB-162,16.2,1,1,2.63,1.47
GAB-174,54.6,0,1,7.27,6.43
GAB-340,15.1,1,1,4.78,0.52
GAB-203,12.9,1,0,3.31,4.26
GAB-231,6.0,1,0,5.98,0.54
GAB-277,3.8,1,0,6.94,1.85
GAB-349,23.8,1,1,7.43,-0.81
GAB-326,7.1,1,1,2.87,3.06
GAB-279,5.6,1,0,3.09,1.68
GAB-126,11.0,1,0,6.49,-0.57
GAB-296,5.7,1,1,7.43,3.77
GAB-289,26.3,1,0,2.91,-1.92
GAB-167,7.5,1,1,3.37,3.51
GAB-344,7.2,1,0,4.82,-0.88
GAB-301,6.0,1,0,5.29,0.8
GAB-129,0.9,1,0,6.48,1.0
GAB-307,13.5,1,1,4.84,3.17
GAB-319,9.9,1,1,7.32,6.25
GAB-214,28.3,1,1,7.21,4.35
GAB-213,1.8,1,1,5.23,-0.27
GAB-153,8.3,1,1,5.69,2.39
GAB-179,7.9,1,0,3.74,2.06
GAB-228,9.5,1,0,6.57,1.35
GAB-305,2.3,1,0,4.96,1.54
GAB-346,10.4,1,0,5.42,2.18
GAB-236,24.3,1,0,3.91,1.17
GAB-120,18.4,1,1,6.55,0.36
GAB-132,38.3,0,0,4.38,4.86
GAB-235,3.0,1,0,6.52,3.59
GAB-229,2.2,1,0,3.91,4.01
GAB-254,23.8,1,1,4.1,4.17
GAB-193,2.6,1,1,4.67,4.74
GAB-246,6.2,1,1,6.79,2.37
GAB-125,9.0,1,1,5.01,0.25
GAB-341,6.4,1,1,5.6,2.25
GAB-328,2.1,1,1,7.35,7.39
GAB-345,26.2,0,1,4.27,5.56
GAB-242,5.1,1,0,4.36,3.02
GAB-199,1.7,1,0,5.63,-0.34
GAB-248,2.4,1,0,6.25,1.2
GAB-171,8.8,1,0,6.07,0.43
GAB-124,8.8,1,0,5.06,3.92
GAB-330,0.1,1,1,5.65,2.72
GAB-272,2.4,1,0,2.96,3.29
GAB-234,16.5,1,1,6.18,-0.84
GAB-303,2.3,1,1,7.03,0.79
GAB-145,1.1,1,1,5.11,-1.58
GAB-220,25.7,0,1,3.0,1.32
GAB-325,16.7,1,0,7.46,2.39
GAB-183,15.1,1,0,3.08,1.35
GAB-304,29.1,0,1,3.06,2.64
GAB-149,15.9,1,0,2.93,2.65
GAB-298,3.0,1,1,4.38,2.86
GAB-297,31.2,1,1,6.27,7.04
GAB-266,5.1,1,0,3.97,4.84
GAB-238,8.2,1,0,6.25,0.97
GAB-143,24.8,1,1,4.3,-1.02
GAB-318,36.3,1,1,3.62,3.33
GAB-281,2.8,1,0,6.31,0.48
GAB-334,5.8,1,0,5.42,0.92
GAB-177,27.4,1,0,5.56,2.93
GAB-342,37.4,1,1,3.89,2.61
GAB-138,22.1,1,1,3.93,3.79
GAB-187,28.4,1,1,6.02,5.23
GAB-278,6.4,1,1,4.25,4.9
GAB-131,19.6,1,0,4.19,2.73
GAB-152,5.2,1,1,5.2,-0.91
GAB-241,11.9,1,0,4.56,2.6
GAB-113,13.8,1,0,5.09,4.98
GAB-218,12.7,1,1,3.48,1.2
GAB-147,21.8,1,0,3.58,3.94
GAB-237,20.2,1,1,3.39,3.64
GAB-271,13.2,1,0,6.45,1.63
GAB-312,14.5,1,1,6.23,1.61
GAB-295,14.5,1,0,7.24,1.67
GAB-151,23.6,1,1,5.16,-0.26
